,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
[ 1.  0.  0. 10.],-0.0008259980961693916,-0.002972653003146084,-0.009803810277861959,-0.009555949355354136,-8.381832418485064e-05,-7.426113486555339e-05,-0.00017849890051542617,0.0,0.0,-0.00018990787605894325,-0.0003347107948583777,-0.008021750747971887,-3.223464989979527e-05,0.0,-2.9641131541365627e-06,-7.995558928127504e-05
[ 1.  0.  0. 15.],-0.014153112990686213,-0.0005493418433649744,-0.00048126117036687433,-0.00057306188322045,-0.0002275711249416641,-0.0005454691258135546,-0.0002757545527251473,0.0,3.684330301663926e-21,-0.0003226522783145799,-0.0007397090368123401,-0.0016199134633944322,0.0,-8.395453802394112e-05,-8.544418289056197e-05,-0.0005046337925940958
[ 1.  1.  0. 15.],-0.009366518337950628,-0.0003871520218716338,-0.008678809322962472,-0.009403707265894214,-0.00016913804231562482,-0.0003617549115549327,-0.009899978469978163,-0.0001465961624771832,-1.2499512552855504e-07,-0.00017319524364508345,-0.007385900433228559,-0.017215068521764264,2.3709942622372328e-11,-0.01,-5.690538521944485e-05,-0.009227456227063887
[ 1.  2.  0. 15.],-0.006174873123379036,-0.00022510440407926165,-0.01000050425946876,-0.009999998701396201,-8.909988194707214e-05,-7.72478526732099e-06,-8.820884341820541e-05,0.0,0.0,-8.051445570647976e-05,-0.009606730398048909,-0.009414799947969519,5.94144894142228e-13,-8.461125679803885e-05,-0.009999998202630705,-6.301854138167432e-06
[ 1.  2.  1. 15.],-0.009702976183843744,-0.009999975391875854,-8.820899938950169e-05,-0.009476029451645522,-0.009999991677631548,-0.00999999999884252,-0.00017641800000000002,0.0,0.0,-0.0001634483731375898,-0.0099,-0.009899998485107305,7.169184423072051e-09,0.0,-0.009999991080547827,-0.009999992765503004
[ 1.  3.  1. 15.],-0.009605959909578075,0.0,-0.00999998687401863,-0.009999986027684147,-0.009999227562295805,-0.009899999492677473,-0.009987325836160939,-8.909934239657413e-05,0.0,-0.01989999999943845,-8.82083489726084e-05,-0.009899999998876807,1.9570821427097442e-18,0.0,0.0,-0.009999999640507939
[ 1.  3.  2. 20.],-0.00971367309,-8.910000000000001e-05,-0.01,-0.00017830587438254938,-0.009995354201290864,-0.00999628020674129,-0.009990452250318046,0.0,-0.00999919904552029,0.0,-0.0099,2.32482028010471e-06,0.0,-0.009990171638263394,0.0,-0.01
[ 1.  3.  3. 20.],-0.0293175363591,-0.01,-0.00991167886871029,-0.010001587761999999,-0.009824464089999999,-0.009999972268424919,-9e-05,-0.01,-0.01,-0.029613760416910002,-0.010000801900000002,-0.0199,-0.01,-0.01,-0.01,-0.009887910347817186
[ 1.  4.  3. 20.],-0.010176418,-0.01,-9e-05,-0.01,-9e-05,-0.01,-0.00017910000000000002,-0.01,-9e-05,-0.0001775435200789852,-0.01,-0.0099,0.0,-0.00017910000000000002,-0.01,-0.0100791
[ 1.  4.  3. 25.],0.0,-0.01,0.0,0.0,-0.01,0.01,-1.1791000000000579e-05,0.0,0.0,0.0,-9.99999999999994e-05,-0.01,0.0,0.00999,0.0,-0.01
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 2.  2.  0. 15.],-0.00045146823146000503,-0.009999999998975884,-7.979462249735605e-05,-0.01,-0.010074689104476975,-0.0004883447978763231,-0.00013640670107809366,-0.009999999999995145,-7.14550195185651e-09,-6.93327339838442e-09,-0.00033676233345526205,-0.0099,-0.01,-8.390661795807408e-05,-9e-05,-0.009900012687961672
[ 2.  2.  0. 20.],-0.009510686379607254,-7.86005214704216e-07,-0.01,-2.3959583873301806e-06,-0.01,-9.051635624034846e-05,-0.01,-0.010000755033473084,-0.01,-8.820899946057721e-05,-0.01,-0.00988824746074715,-0.01,-0.010000006794756386,-0.01989999300992369,-7.953328680448357e-07
[ 2.  3.  0. 20.],-0.01,0.0,0.0,-8.732690943454861e-05,0.0,0.0,0.0,0.0,0.0,-0.009999992855065998,-0.01,-8.732690943454861e-05,0.0,0.0,-0.01,-0.0199
[ 2.  3.  1. 25.],-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.0099,0.0,0.0,0.0,0.0
[ 0.  0.  0. 10.],-0.00038016430066153424,-0.0003870804550569165,0.0,-0.0003906481749286671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00032760041609209843,0.0,0.0,0.0,0.0
[ 2.  2.  1. 15.],-0.02911663033200866,-0.010002238057391855,-0.01,-0.01,-0.01,-0.009989215479650872,-9.040720334712995e-05,-0.01000073390292787,-0.009999992799191226,-8.018994270481436e-07,-0.009999999935695596,-0.02808854847890633,0.0,-0.01,-0.01,-0.009999999999421262
[ 2.  2.  1. 20.],-0.01989999306727768,-0.009801056857923068,-0.01,-0.019788572101741182,-0.01,-0.01008812881,-0.01,-0.009999999876458976,-0.0100872475219,-0.01026355542260632,-0.010084889765223284,-0.009943990468184295,-0.01,-0.01,-0.009999215479650872,-0.01008559596788129
[ 2.  2.  2. 20.],-0.01977943011523721,-0.01,-0.019597227409000002,-0.0196941691,-0.009911950578100001,-0.0199,-0.01,-0.019801,-0.019726356733979853,-0.01,-0.00990158872509,-0.0388195464669418,0.0001727077878396566,-0.01,-0.01,-0.01914023039110871
[ 2.  3.  2. 20.],-0.009999206119,-0.009811790938229486,-0.000352738526391,-0.009999198099999999,-0.01,-0.01,-0.01,-0.01,-0.01,-0.0099,-0.01,-0.009999198099999999,0.0,-0.000267309,-0.010088209,-0.010174759759899999
[ 1.  2.  2. 15.],-8.986937178751163e-05,-8.965985096759334e-05,-0.01,-0.01,-0.00999999221430779,-9.061125966799407e-05,0.0,-0.009999999440610115,0.0,0.0,-0.01,-0.0001812914467491943,-6.174340080748225e-07,-0.01,-0.01,-0.009899999936338682
[ 1.  3.  2. 15.],-0.009998489624230554,0.0,0.0,0.0,-0.009999992791409682,0.0,0.0,0.0,0.0,0.0,0.0,9.399042983994634e-08,0.0,0.0,0.0,0.0
[ 1.  4.  2. 15.],-0.009999999695653279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0
[ 1.  5.  2. 15.],-0.009999198099999999,-0.01,0.0,-0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9e-05,-0.00999999999726088
[ 1.  5.  3. 15.],-0.01,-0.01,-0.01,0.0,-0.01,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.0199,0.0,-0.01,-0.00017910000000000002,-0.00017910000000000002
[ 1.  5.  3. 20.],-0.0199,-0.0199,-0.01,-0.0199,-0.01,-0.01,-0.0199,-0.01,-0.01,-0.019801,-0.029701,-0.03940399,-0.0199,-0.01,-0.01,-0.01
[ 1.  3.  0. 15.],-0.009790316779424291,-0.009800999984761536,-8.058029262714114e-05,-0.00999996771805738,0.0,-0.00989992631068775,-0.00999999999999996,-8.909999187563347e-05,-0.009999920641447255,-4.81632784291704e-09,-0.009800999976440131,-8.473309530441459e-05,0.0,-0.009986453639186203,0.0,-0.009999854051446311
[ 1.  3.  1. 20.],-0.009702918386986925,-0.009658176433541282,-0.00980099993569564,-0.00999999300425783,-0.009899999372413438,0.0,-0.009999967053464434,0.0,0.0,-0.009800992852869443,0.0,-0.009999930931016743,-0.01,-0.01,0.0,-0.009899966856642064
[ 1.  4.  1. 20.],-0.009999204891223834,-8.764207581246771e-05,0.0,-0.009998439306968683,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[ 1.  5.  1. 20.],-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.009999978917465072,0.0,0.0,-0.009999999823161852,-0.01,-0.01,0.0,0.0,0.0,-0.01
[ 1.  5.  2. 20.],-0.009911791000000001,-0.01,-0.00017910000000000002,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-8.910000000000001e-05,-0.01,-0.01,0.0,0.0,0.0,0.0
[ 1.  5.  3. 25.],-0.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.0199,0.01,-9.99999999999994e-05,-9.99999999999994e-05,0.01
[ 1.  1.  0. 20.],0.0,0.0,1.2447382934418468e-09,0.0,0.0,2.4571157897442905e-11,0.0,0.0,0.0,-0.009899378303133342,0.0,4.847808986161081e-15,0.0,0.0,0.0,0.0
[ 1.  2.  0. 20.],-0.009999998966760416,-8.909979115511037e-05,0.0,0.0,-0.019899999935944643,0.0,-0.009999998292551228,0.0,0.0,0.0,0.0,5.511315747232312e-08,0.0,-0.009999999053630663,1.4059331596863417e-08,-0.009999976386981036
